Region,Region County,Lat,Long,Year,Sow Month,Ripe Time,Yield
Elmswell,Sufflk,52.236999999999995,0.9125,2012,10-Jan,,9.77
Elmswell,East Yorks ,54.0175,-0.4814,2015,29-Sep,334,14.66
Elmswell,Sufflk,52.236999999999995,0.9125,2015,10-Mar,,8.37
Elmswell,EYorks,54.0175,-0.4814,2016,29-Sep,,
Elmswell,Sufflk,52.236999999999995,0.9125,2016,10-Aug,,
Errol,Prth&K,56.3919,-3.2127,2009,28-Sep,,
Errol,Prth&K,56.3919,-3.2127,2010,27-Sep,,
Errol,Prth&K,56.3919,-3.2127,2011,13-Oct,,
Eyton upon the Weald Moors,Shropshire,52.73,-2.5191,2004,10-Jan,,
FAKEN,NORF,52.8313,0.8493,2002,10-Jan,,
Fakenham,Norf.,52.8313,0.8493,2003,10-Jan,,
Framling,Sufflk,52.2221,1.3421,2006,10-Jan,,
Framling,Sufflk,52.2221,1.3421,2007,10-Jan,,
Framling,Sufflk,52.2221,1.3421,2008,10-Feb,,
Framling,Sufflk,52.2221,1.3421,2009,10-Feb,,
Framling,Sufflk,52.2221,1.3421,2010,10-Sep,,
Framling,Sufflk,52.2221,1.3421,2011,14-Oct,,
Framling,Sufflk,52.2221,1.3421,2012,10-Jan,322,10.47
Framling,Sufflk,52.2221,1.3421,2013,16-Oct,,10.9
Framlingham,Suffolk,52.2221,1.3421,2003,10-Jan,,
Framlingham,Suffolk,52.2221,1.3421,2004,10-Jan,,
Framlingham,Suffolk,52.2221,1.3421,2005,10-Jan,,
Fridaythorpe,NYorks,54.0203,-0.6659,2017,10-Apr,,
Frisby,Leics,52.7525,-0.9713,2006,10-Jan,,
Frisby,Leics,52.7525,-0.9713,2007,10-Jan,,
Frisby,Leics,52.7525,-0.9713,2008,10-Jan,,
Frisby,Leics,52.7525,-0.9713,2010,28-Sep,,
Frisby,Leics,52.7525,-0.9713,2011,10-Dec,,
Frisby,Leics,52.7525,-0.9713,2012,10-Jan,,5.17
Frisby,Leics,52.7525,-0.9713,2013,10-Sep,,12.46
Frisby,Leics,52.7525,-0.9713,2014,10-May,300,14.22
Frisby,Leics,52.7525,-0.9713,2015,10-Jan,307,14.86
Frisby,Leics,52.7525,-0.9713,2016,10-Jan,,
Frisby,Leics,52.7525,-0.9713,2017,10-May,,
Frisby on the Wreake,Leicestershire,52.7525,-0.9713,2004,10-Jan,,
Frisby on the Wreake,Leicestershire,52.7525,-0.9713,2005,10-Jan,,
Frsthrp,Lincs,53.244,-0.2114,2017,10-Jul,,
Gedding,Sufflk,52.1854,0.8525,2007,10-Jan,,
Girton,Cambridgeshire,52.24100000000001,0.0814,2004,10-Jan,,
Girton,Cambs,52.24100000000001,0.0814,2009,29-Sep,,
Girton,Cambs,52.24100000000001,0.0814,2010,28-Sep,,
Girton,Cambs,52.24100000000001,0.0814,2011,19-Oct,,
Great Dunmow,Essex,51.8729,0.3578,2003,10-Jan,,
GSturton,Lincs,53.2729,-0.6666,2011,10-Dec,,
GSturton,Lincs,53.2729,-0.6666,2012,10-Jan,,7.17
GSturton,Lincs,53.2729,-0.6666,2015,22-Oct,,10.87
GSturton,Lincs,53.2729,-0.6666,2016,10-Sep,,
Haddington,East Lothian,55.9587,-2.7749,2003,10-Jan,,
Hailes,Gloucs,51.9746,-1.9336,2014,12-Mar,,11.85
Hailes,Gloucs,51.9746,-1.9336,2015,10-Jan,,10.14
Hasely,Warwick,52.3091,-1.6641,2010,10-Jan,,
Hasely,Warwick,52.3091,-1.6641,2011,27-Sep,,
