Region,Region County,Lat,Long,Year,Sow Month,Ripe Time,Yield
Elgin,Moray,57.6495,-3.3185,2006,10/1,324,11.48
Elgin,Moray,57.6495,-3.3185,2017,20/10,,
Elie,Fife,52.3995,-0.2624,2014,10/10,,
Elie,Fife,52.3995,-0.2624,2015,13/10,,
Elie,Fife,52.3995,-0.2624,2016,14/10,,
Ellon,Aberdn,57.3646,-2.073,2010,29/9,343,11.84
Ellon,Aberdn,57.3646,-2.073,2011,13/10,,
Ellon,Aberdn,57.3646,-2.073,2012,10/1,,
Ellon,Aberdn,57.3646,-2.073,2013,10/10,,
Elmswell,East Yorks ,54.0175,-0.4814,2015,29/9,,
Elmswell,EYorks,54.0175,-0.4814,2016,29/9,,
Elmswell,Sufflk,52.237,0.9125,2011,22/10,,
Elmswell,Sufflk,52.237,0.9125,2012,10/1,,
Elmswell,Sufflk,52.237,0.9125,2015,10/3,,
Elmswell,Sufflk,52.237,0.9125,2016,10/8,,
Errol,Prth&K,56.3919,-3.2127,2009,28/9,,9.08
Errol,Prth&K,56.3919,-3.2127,2010,27/9,,8.13
Errol,Prth&K,56.3919,-3.2127,2011,13/10,,
Eyton upon the Weald Moors,Shropshire,52.73,-2.5191,2004,10/1,302,12.63
FAKEN,NORF,52.8313,0.8493,2002,10/1,288,8.71
Fakenham,Norf.,52.8313,0.8493,2003,10/1,284,9.74
Framling,Sufflk,52.2221,1.3421,2006,10/1,299,11.75
Framling,Sufflk,52.2221,1.3421,2007,10/1,,10.71
Framling,Sufflk,52.2221,1.3421,2008,10/2,,13.34
Framling,Sufflk,52.2221,1.3421,2009,10/2,296,13.19
Framling,Sufflk,52.2221,1.3421,2010,10/9,291,9.54
Framling,Sufflk,52.2221,1.3421,2011,14/10,,
Framling,Sufflk,52.2221,1.3421,2012,10/1,,
Framling,Sufflk,52.2221,1.3421,2013,16/10,,
Framlingham,Suffolk,52.2221,1.3421,2003,10/1,,11.51
Framlingham,Suffolk,52.2221,1.3421,2004,10/1,,10.23
Framlingham,Suffolk,52.2221,1.3421,2005,10/1,283,11.33
Fridaythorpe,NYorks,54.0203,-0.6659,2017,10/4,,
Frisby,Leics,52.7525,-0.9713,2006,10/1,297.67,10.02
Frisby,Leics,52.7525,-0.9713,2007,10/1,,9.34
Frisby,Leics,52.7525,-0.9713,2008,10/1,,12.47
Frisby,Leics,52.7525,-0.9713,2010,28/9,300,11.14
Frisby,Leics,52.7525,-0.9713,2011,10/12,,
Frisby,Leics,52.7525,-0.9713,2012,10/1,,
Frisby,Leics,52.7525,-0.9713,2013,10/9,,
Frisby,Leics,52.7525,-0.9713,2014,10/5,,
Frisby,Leics,52.7525,-0.9713,2015,10/1,,
Frisby,Leics,52.7525,-0.9713,2016,10/1,,
Frisby,Leics,52.7525,-0.9713,2017,10/5,,
Frisby on the Wreake,Leicestershire,52.7525,-0.9713,2004,10/1,298,7.9
Frisby on the Wreake,Leicestershire,52.7525,-0.9713,2005,10/1,303,11.4
Frsthrp,Lincs,53.244,-0.2114,2017,10/7,,
Gedding,Sufflk,52.1854,0.8525,2007,10/1,,8.15
Girton,Cambridgeshire,52.241,0.0814,2004,10/1,,8.51
Girton,Cambs,52.241,0.0814,2009,29/9,302,8.96
Girton,Cambs,52.241,0.0814,2010,28/9,299,12.2
Girton,Cambs,52.241,0.0814,2011,19/10,,
Great Dunmow,Essex,51.8729,0.3578,2003,10/1,,
GSturton,Lincs,53.2729,-0.6666,2011,10/12,,
GSturton,Lincs,53.2729,-0.6666,2012,10/1,,
GSturton,Lincs,53.2729,-0.6666,2015,22/10,,
GSturton,Lincs,53.2729,-0.6666,2016,10/9,,
Haddington,East Lothian,55.9587,-2.7749,2003,10/1,312,6.71
Hailes,Gloucs,51.9746,-1.9336,2014,12/3,,
Hailes,Gloucs,51.9746,-1.9336,2015,10/1,,
